openalex_id,doi,year,type,title,venue,primary_topic,matched_terms,auto_flag,abstract_first_60_words
https://openalex.org/W1491941570,https://doi.org/10.1049/iet-cdt.2014.0215,2015,editorial,Guest Editorial,IET Computers & Digital Techniques,Embedded Systems Design Techniques,run-time adaptation,,"Energy efficiency is one of the primary design constraints for electronic systems such as mobile devices that operate using batteries and servers that are designed to reduce their running costs. In the area of mobile computing, the current rate of battery life improvement of around 5 % per year means that the limited energy budget could delay the introduction of"
https://openalex.org/W2768646057,https://doi.org/10.1109/iccd.2017.49,2017,conference-paper,A Dynamic Deep Neural Network Design for Efficient Workload Allocation in Edge Computing,,Advanced Neural Network Applications,dynamic DNN,,"Unreliable communication channels and limited computing resources at the edge end are two primary constraints of battery-powered movable devices, such as autonomous robots and unmanned aerial vehicles (UAVs). The impact is especially severe for those performing deep neural network (DNN) computations. With increasing demand for accuracy, the trend in modern DNN designs is the use of cascaded modularized layers. Implementing"
https://openalex.org/W2962752334,https://doi.org/10.15353/vsnl.v3i1.171,2017,article,Fast YOLO: A Fast You Only Look Once System for Real-time Embedded Object Detection in Video,Journal of Computational Vision and Imaging Systems,Advanced Neural Network Applications,adaptive inference,,"Object detection is considered one of the most challenging problemsin this field of computer vision, as it involves the combinationof object classification and object localization within a scene. Recently,deep neural networks (DNNs) have been demonstrated toachieve superior object detection performance compared to otherapproaches, with YOLOv2 (an improved You Only Look Once model)being one of the state-of-the-art in DNN-based object detectionmethods"
https://openalex.org/W4302583374,https://doi.org/10.48550/arxiv.1709.05943,2017,preprint,Fast YOLO: A Fast You Only Look Once System for Real-time Embedded\n Object Detection in Video,arXiv (Cornell University),Advanced Neural Network Applications,adaptive inference,,"Object detection is considered one of the most challenging problems in this\nfield of computer vision, as it involves the combination of object\nclassification and object localization within a scene. Recently, deep neural\nnetworks (DNNs) have been demonstrated to achieve superior object detection\nperformance compared to other approaches, with YOLOv2 (an improved You Only\nLook Once model) being one of the state-of-the-art in DNN-based object\ndetection"
https://openalex.org/W2794478957,https://doi.org/10.1109/hpca.2018.00018,2018,conference-paper,In-Situ AI: Towards Autonomous and Incremental Deep Learning for IoT Systems,,Advanced Neural Network Applications,configuration selection,,"Recent years have seen an exploration of data volumes from a myriad of IoT devices, such as various sensors and ubiquitous cameras. The deluge of IoT data creates enormous opportunities for us to explore the physical world, especially with the help of deep learning techniques. Traditionally, the Cloud is the option for deploying deep learning based applications. However, the challenges"
https://openalex.org/W2910908473,https://doi.org/10.1109/rtcsa.2018.00019,2018,conference-paper,An Adaptive Computation Framework of Distributed Deep Learning Models for Internet-of-Things Applications,,IoT and Edge/Fog Computing,adaptive inference,,"We propose the computation framework that facilitates the inference of the distributed deep learning model to be performed collaboratively by the devices in a distributed computing hierarchy. For example, in Internet-of-Things (IoT) applications, the three-tier computing hierarchy consists of end devices, gateways, and server(s), and the model inference could be done adaptively by one or more computing tiers from the"
https://openalex.org/W2950576443,https://doi.org/10.48550/arxiv.1812.09026,2018,preprint,Deep Reinforcement Learning for Real-Time Optimization in NB-IoT Networks,arXiv (Cornell University),IoT Networks and Protocols,configuration selection,,"NarrowBand-Internet of Things (NB-IoT) is an emerging cellular-based technology that offers a range of flexible configurations for massive IoT radio access from groups of devices with heterogeneous requirements. A configuration specifies the amount of radio resource allocated to each group of devices for random access and for data transmission. Assuming no knowledge of the traffic statistics, there exists an important"
https://openalex.org/W2957242392,https://doi.org/10.20372/nadre/10539,2018,article,Automatic Route Setting and Dynamic Rescheduling Following Disturbance,National Academic Digital Repository of Ethiopia,Railway Systems and Energy Efficiency,model routing,,"Nowadays, development cannot be achieved without modern infrastructure capacity. The new railway project which links Addis Ababa to Djibouti aims to fulfill this task through safety and reliability as major goals. Railway operating near their theoretical capacity is particularly vulnerable to disruption by human behavior or engineering failures that lead to delays or to even cancellations of services. In order"
https://openalex.org/W2905601756,https://doi.org/10.1109/jsac.2019.2904366,2019,article,Reinforcement Learning for Real-Time Optimization in NB-IoT Networks,IEEE Journal on Selected Areas in Communications,IoT Networks and Protocols,configuration selection,,"NarrowBand Internet of Things (NB-IoT) is an emerging cellular-based technology that offers a range of flexible configurations for massive IoT radio access from groups of devices with heterogeneous requirements. A configuration specifies the amount of radio resource allocated to each group of devices for random access and for data transmission. Assuming no knowledge of the traffic statistics, there exists an"
https://openalex.org/W2920031528,https://doi.org/10.1109/infocom.2019.8737614,2019,conference-paper,Dynamic Adaptive DNN Surgery for Inference Acceleration on the Edge,,Advanced Neural Network Applications,adaptive DNN,,"Recent advances in deep neural networks (DNNs) have substantially improved the accuracy and speed of a variety of intelligent applications. Nevertheless, one obstacle is that DNN inference imposes heavy computation burden to end devices, but offloading inference tasks to the cloud causes transmission of a large volume of data. Motivated by the fact that the data size of some intermediate"
https://openalex.org/W2927152095,,2019,preprint,Context-aware Dynamic Block.,arXiv (Cornell University),Advanced Neural Network Applications,dynamic inference,,"Although deeper and larger neural networks have achieved better performance nowadays, the complex network structure and increasing computational cost cannot meet the demands of many resource-constrained applications. An effective way to address this problem is to make use of dynamic inference mechanism. Existing methods usually choose to execute or skip an entire specific layer through a switch structure, which can"
https://openalex.org/W3003782683,https://doi.org/10.1109/icpads47876.2019.00080,2019,conference-paper,Enabling Adaptive Deep Neural Networks for Video Surveillance in Distributed Edge Clouds,,Video Surveillance and Tracking Methods,adaptive DNN,,"In the field of video surveillance, the demands of intelligent video analysis services based on Deep Neural Networks (DNNs) have grown rapidly. Although most existing studies focus on the performance of DNNs pre-deployed at remote clouds, the network delay caused by computation offloading from network cameras to remote clouds is usually long and sometimes unbearable. Edge computing can enable rich"
https://openalex.org/W3009921999,https://doi.org/10.1109/globecom38437.2019.9013742,2019,conference-paper,Privacy-Aware Edge Computing Based on Adaptive DNN Partitioning,,Privacy-Preserving Technologies in Data,adaptive DNN,,"Recent years have witnessed deep neural networks (DNNs) become the de facto tool in many applications such as image classification and speech recognition. But significant unmet needs remain in performing DNN inference tasks on mobile devices. Although edge computing enables complex DNN inference tasks to be performed in close proximity to the mobile device, performance optimization requires a carefully designed"
https://openalex.org/W3004633656,,2020,article,Optimizing Deep Learning Inference on Embedded Systems Through Adaptive Model Selection,Lancaster EPrints (Lancaster University),Advanced Neural Network Applications,adaptive model selection,,"Deep neural networks (DNNs) are becoming a key enabling technique for many application domains. However, on-device inference on battery-powered, resource-constrained embedding systems is often infeasible due to prohibitively long inferencing time and resource requirements of many DNNs. Offloading computation into the cloud is often unacceptable due to privacy concerns, high latency, or the lack of connectivity. Although compression algorithms often"
https://openalex.org/W3009990445,https://doi.org/10.1364/ofc.2020.th2a.28,2020,conference-paper,Adaptive DNN Model Partition and Deployment in Edge Computing-enabled Metro Optical Interconnection Network,,Advanced Optical Network Technologies,adaptive DNN,,A DNN model partition and deployment algorithm is proposed between edge nodes and cloud in metro optical network. Simulation results show that the algorithm can deploy more DNN tasks with the same network resource.
https://openalex.org/W3010833785,https://doi.org/10.1109/jstsp.2020.2979669,2020,article,"Dual Dynamic Inference: Enabling More Efficient, Adaptive, and Controllable Deep Inference",IEEE Journal of Selected Topics in Signal Processing,Advanced Neural Network Applications,dynamic inference,,"State-of-the-art convolutional neural networks (CNNs) yield record-breaking predictive performance, yet at the cost of high-energy-consumption inference, that prohibits their widely deployments in resource-constrained Internet of Things (IoT) applications. We propose a dual dynamic inference (DDI) framework that highlights the following aspects: 1) we integrate both input-dependent and resource-dependent dynamic inference mechanisms under a unified framework in order to fit the"
https://openalex.org/W3010837127,https://doi.org/10.1109/mnet.011.1900305,2020,article,Edge-Assisted Distributed DNN Collaborative Computing Approach for Mobile Web Augmented Reality in 5G Networks,IEEE Network,IoT and Edge/Fog Computing,adaptive DNN,,"Web-based DNNs provide accurate object recognition to the mobile Web AR, which is newly emerging as a lightweight mobile AR solution. Web-based DNNs are attracting a great deal of attention. However, balancing the UX against the computing cost for DNN-based object recognition on the Web is difficult for both self-contained and cloud-based offloading approaches, as it is a latency-sensitive service"
https://openalex.org/W3013202691,https://doi.org/10.1109/asp-dac47756.2020.9045166,2020,conference-paper,A Flexible Processing-in-Memory Accelerator for Dynamic Channel-Adaptive Deep Neural Networks,,Advanced Neural Network Applications,adaptive DNN|dynamic DNN,,"With the success of deep neural networks (DNN), many recent works have been focusing on developing hardware accelerator for power and resource-limited embedded system via model compression techniques, such as quantization, pruning, low-rank approximation, etc. However, almost all existing DNN structure is fixed after deployment, which lacks runtime adaptive DNN structure to adapt to its dynamic hardware resource, power budget,"
https://openalex.org/W3013634724,https://doi.org/10.1109/jproc.2020.2977722,2020,article,Self-Aware Neural Network Systems: A Survey and New Perspective,Proceedings of the IEEE,Advanced Neural Network Applications,model switching,,"Neural network (NN) processors are specially designed to handle deep learning tasks by utilizing multilayer artificial NNs. They have been demonstrated to be useful in broad application fields such as image recognition, speech processing, machine translation, and scientific computing. Meanwhile, innovative self-aware techniques, whereby a system can dynamically react based on continuously sensed information from the execution environment, have attracted"
https://openalex.org/W3014859179,https://doi.org/10.1184/r1/12026319.v1,2020,dissertation,Hardware-Aware AutoML for Efficient Deep Learning Applications,INDIGO (University of Illinois at Chicago),Machine Learning and Data Classification,adaptive DNN,,"Deep Neural Networks (DNNs) have been traditionally designed by human experts in a painstaking and expensive process, dubbed by many researchers to be more of an art than science. However, the ever increasing demand for state-of-the-art performance and real-world deployment has resulted in larger models, making the manual DNN design a daunting task. AutoML presents a promising path towards<br>alleviating this"
https://openalex.org/W3035136443,https://doi.org/10.1109/cvpr42600.2020.00959,2020,conference-paper,Partial Weight Adaptation for Robust DNN Inference,,Image Enhancement Techniques,adaptive inference,,"Mainstream video analytics uses a pre-trained DNN model with an assumption that inference input and training data follow the same probability distribution. However, this assumption does not always hold in the wild: autonomous vehicles may capture video with varying brightness; unstable wireless bandwidth calls for adaptive bitrate streaming of video; and, inference servers may serve inputs from heterogeneous IoT devices/cameras."
https://openalex.org/W3041411561,https://doi.org/10.1007/978-3-030-58526-6_2,2020,conference-paper,Learning to Learn Parameterized Classification Networks for Scalable Input Images,Lecture notes in computer science,Advanced Neural Network Applications,adaptive inference,,
