openalex_id,doi,year,type,title,venue,primary_topic,matched_terms,auto_flag,abstract_first_60_words
https://openalex.org/W1491941570,https://doi.org/10.1049/iet-cdt.2014.0215,2015,editorial,Guest Editorial,IET Computers & Digital Techniques,Embedded Systems Design Techniques,run-time adaptation,,"Energy efficiency is one of the primary design constraints for electronic systems such as mobile devices that operate using batteries and servers that are designed to reduce their running costs. In the area of mobile computing, the current rate of battery life improvement of around 5 % per year means that the limited energy budget could delay the introduction of"
https://openalex.org/W1818359331,,2015,dissertation,Communication Optimization for Customizable Domain-Specific Computing,eScholarship (California Digital Library),Parallel Computing and Optimization Techniques,computation offloading,,"This dissertation investigates the communication optimization for customizable domain-specific computing at different levels in a customizable heterogeneous platform (CHP) to improve the system performance and energy efficiency. Fabric-level optimization driven by emerging devices. Programmable fabrics (e.g., FPGAs) can be used to improve domain-specific computing by &amp;gt;10x in energy efficiency over CPUs since FPGAs can be customized to the application kernels"
https://openalex.org/W2275461571,,2016,dissertation,Cyber-Physical Intrusion Detection on a Robotic Vehicle,,Network Security and Intrusion Detection,computation offloading,,"Intrusion detection systems (IDS) designed for conventional computer systems and networks are not necessarily suitable for mobile cyber-physical systems (CPS), such as robots, drones and automobiles. They tend to be geared towards attacks of different nature and do not take into account mobility, energy consumption and other physical aspects that are vital to a mobile cyber-physical system. This work provides"
https://openalex.org/W2506334349,https://doi.org/10.1063/pt.3.3273,2016,article,Focus on microscopy and nanotechnology,Physics Today,Piezoelectric Actuators and Control,slimmable,,"Ultraprecise compact linear positionerSection:ChooseTop of pageUltraprecise compact line... <<Nanoscale imaging microsc...Scanning electron microsc...Scanning transmission ele...Microscope objective posi...Optical nano drive stageLaser scanning microscopeRaman microscopeCell imaging systemDimensional analysis syst...In vivo microscope imagin...Microscopy for brain imag...Microscope rotation viewe...Physik Instrumente (PI) designed its N-565 linear stages to offer subnanometer resolution, high forces, and high stiffness for demanding applications in bionanotechnology, fiber optics, microscopy, semiconductor"
https://openalex.org/W2514077746,https://doi.org/10.1016/j.simpat.2016.08.005,2016,article,Computation offloading of a vehicle’s continuous intrusion detection workload for energy efficiency and performance,Simulation Modelling Practice and Theory,IoT and Edge/Fog Computing,computation offloading,,
https://openalex.org/W2612193523,https://doi.org/10.23919/date.2017.7927211,2017,conference-paper,MoDNN: Local distributed mobile computing system for Deep Neural Network,,Advanced Neural Network Applications,model partitioning,,"Although Deep Neural Networks (DNN) are ubiquitously utilized in many applications, it is generally difficult to deploy DNNs on resource-constrained devices, e.g., mobile platforms. Some existing attempts mainly focus on client-server computing paradigm or DNN model compression, which require either infrastructure supports or special training phases, respectively. In this work, we propose MoDNN - a local distributed mobile computing system"
https://openalex.org/W2616487242,https://doi.org/10.1002/cyto.a.23130,2017,article,Quantitative phase imaging for label‐free cytometry,Cytometry Part A,Digital Holography and Microscopy,slimmable,,"In order to understand complex biological processes, scientists must gain insights into the functioning of individual live cells. Unlike fixed cell imaging, where a single snapshot of the cell's life is retrieved, live-cell imaging allows investigation of the dynamic processes underlying the cell's function. Label-free imaging avoids the limitations inherent to fluorescent probes (phototoxicity, photobleaching) and maintains an appropriate environment"
https://openalex.org/W2751247084,https://doi.org/10.1002/cpe.4300,2017,article,Algorithms and applications towards the convergence of high‐end data‐intensive and computing systems,Concurrency and Computation Practice and Experience,Distributed and Parallel Computing Systems,computation offloading,,"With the increasing availability of data generated by scientific instruments and simulations, today, solving many of our most important scientific and engineering problems requires high-end computing systems (HECS)1 that may be able to process and storage a huge amount of data.2 With this landscape, many synergies between extreme-scale computing, simulations, and data intensive applications might arise.(3, 4) However, the high-performance"
https://openalex.org/W2768646057,https://doi.org/10.1109/iccd.2017.49,2017,conference-paper,A Dynamic Deep Neural Network Design for Efficient Workload Allocation in Edge Computing,,Advanced Neural Network Applications,dynamic DNN,,"Unreliable communication channels and limited computing resources at the edge end are two primary constraints of battery-powered movable devices, such as autonomous robots and unmanned aerial vehicles (UAVs). The impact is especially severe for those performing deep neural network (DNN) computations. With increasing demand for accuracy, the trend in modern DNN designs is the use of cascaded modularized layers. Implementing"
https://openalex.org/W2771179281,https://doi.org/10.1109/access.2017.2782159,2017,article,Cloud-Based Cyber-Physical Intrusion Detection for Vehicles Using Deep Learning,IEEE Access,Vehicular Ad Hoc Networks (VANETs),computation offloading,,"Detection of cyber attacks against vehicles is of growing interest. As vehicles typically afford limited processing resources, proposed solutions are rule-based or lightweight machine learning techniques. We argue that this limitation can be lifted with computational offloading commonly used for resource-constrained mobile devices. The increased processing resources available in this manner allow access to more advanced techniques. Using as case"
