openalex_id,doi,year,type,title,venue,primary_topic,matched_terms,auto_flag,abstract_first_60_words
https://openalex.org/W2794478957,https://doi.org/10.1109/hpca.2018.00018,2018,conference-paper,In-Situ AI: Towards Autonomous and Incremental Deep Learning for IoT Systems,,Advanced Neural Network Applications,configuration selection,,"Recent years have seen an exploration of data volumes from a myriad of IoT devices, such as various sensors and ubiquitous cameras. The deluge of IoT data creates enormous opportunities for us to explore the physical world, especially with the help of deep learning techniques. Traditionally, the Cloud is the option for deploying deep learning based applications. However, the challenges"
https://openalex.org/W2950576443,https://doi.org/10.48550/arxiv.1812.09026,2018,preprint,Deep Reinforcement Learning for Real-Time Optimization in NB-IoT Networks,arXiv (Cornell University),IoT Networks and Protocols,configuration selection,,"NarrowBand-Internet of Things (NB-IoT) is an emerging cellular-based technology that offers a range of flexible configurations for massive IoT radio access from groups of devices with heterogeneous requirements. A configuration specifies the amount of radio resource allocated to each group of devices for random access and for data transmission. Assuming no knowledge of the traffic statistics, there exists an important"
https://openalex.org/W2957242392,https://doi.org/10.20372/nadre/10539,2018,article,Automatic Route Setting and Dynamic Rescheduling Following Disturbance,National Academic Digital Repository of Ethiopia,Railway Systems and Energy Efficiency,model routing,,"Nowadays, development cannot be achieved without modern infrastructure capacity. The new railway project which links Addis Ababa to Djibouti aims to fulfill this task through safety and reliability as major goals. Railway operating near their theoretical capacity is particularly vulnerable to disruption by human behavior or engineering failures that lead to delays or to even cancellations of services. In order"
https://openalex.org/W2905601756,https://doi.org/10.1109/jsac.2019.2904366,2019,article,Reinforcement Learning for Real-Time Optimization in NB-IoT Networks,IEEE Journal on Selected Areas in Communications,IoT Networks and Protocols,configuration selection,,"NarrowBand Internet of Things (NB-IoT) is an emerging cellular-based technology that offers a range of flexible configurations for massive IoT radio access from groups of devices with heterogeneous requirements. A configuration specifies the amount of radio resource allocated to each group of devices for random access and for data transmission. Assuming no knowledge of the traffic statistics, there exists an"
https://openalex.org/W3004633656,,2020,article,Optimizing Deep Learning Inference on Embedded Systems Through Adaptive Model Selection,Lancaster EPrints (Lancaster University),Advanced Neural Network Applications,adaptive model selection,,"Deep neural networks (DNNs) are becoming a key enabling technique for many application domains. However, on-device inference on battery-powered, resource-constrained embedding systems is often infeasible due to prohibitively long inferencing time and resource requirements of many DNNs. Offloading computation into the cloud is often unacceptable due to privacy concerns, high latency, or the lack of connectivity. Although compression algorithms often"
https://openalex.org/W3013634724,https://doi.org/10.1109/jproc.2020.2977722,2020,article,Self-Aware Neural Network Systems: A Survey and New Perspective,Proceedings of the IEEE,Advanced Neural Network Applications,model switching,,"Neural network (NN) processors are specially designed to handle deep learning tasks by utilizing multilayer artificial NNs. They have been demonstrated to be useful in broad application fields such as image recognition, speech processing, machine translation, and scientific computing. Meanwhile, innovative self-aware techniques, whereby a system can dynamically react based on continuously sensed information from the execution environment, have attracted"
https://openalex.org/W3096084597,https://doi.org/10.1109/tpds.2020.3035044,2020,article,Cuttlefish: Neural Configuration Adaptation for Video Analysis in Live Augmented Reality,IEEE Transactions on Parallel and Distributed Systems,Image and Video Quality Assessment,configuration selection,,"Instead of relying on remote clouds, today's Augmented Reality (AR) applications usually send videos to nearby edge servers for analysis (such as objection detection) so as to optimize the user's quality of experience (QoE), which is often determined by not only detection latency but also detection accuracy, playback fluency, etc. Therefore, many studies have been conducted to help adaptively choose"
https://openalex.org/W3173385564,https://doi.org/10.1109/aicas51828.2021.9458468,2021,conference-paper,Contention-aware Adaptive Model Selection for Machine Vision in Embedded Systems,,CCD and CMOS Imaging Sensors,adaptive model selection,,"Real-time machine vision applications running on resource-constrained embedded systems face challenges for maintaining performance. An especially challenging scenario arises when multiple applications execute at the same time, creating contention for the computational resources of the system. This contention results in increase in inference delay of the machine vision applications which can be unacceptable for time-critical tasks. To address this challenge,"
https://openalex.org/W3173929316,https://doi.org/10.1109/ipdpsw52791.2021.00074,2021,conference-paper,Time-Division Multiplexing for FPGA Considering CNN Model Switch Time,,Advanced Neural Network Applications,model switching,,"With the spread of real-time data analysis by artificial intelligence (Al), the use of accelerators in edge computing has been attracting attention due to their low power consumption and low latency. In this paper, we propose a system that further reduces the power consumption and cost by sharing an accelerator among multiple users while maintaining real-time performance. Four requirements are"
https://openalex.org/W3191769047,https://doi.org/10.1145/3480172,2021,article,Adaptive Anomaly Detection for Internet of Things in Hierarchical Edge Computing: A Contextual-Bandit Approach,ACM Transactions on Internet of Things,Anomaly Detection Techniques and Applications,adaptive model selection,,"The advances in deep neural networks (DNN) have significantly enhanced real-time detection of anomalous data in IoT applications. However, the complexity-accuracy-delay dilemma persists: Complex DNN models offer higher accuracy, but typical IoT devices can barely afford the computation load, and the remedy of offloading the load to the cloud incurs long delay. In this article, we address this challenge by"
